submitted on,title (generated by manual input from admin),1 what problem from your healthcare setting do you want to tackle,2 will a change in behavior address this problem,3 whose behaviour should primarily be changed,3. other,4 who will the primary beneficiary of this behaviour change be,4. other,5 current behaviour what are they currently doing,6 desired behaviour what should they be doing that might solve the problem,7 why might they not be doing the desired behavior,7.other,please describe your response,8 how will the behaviour change address the problem,9 at which stage of the patient journey map does this problem arise,9. other,10 does this problem manifest itself in any of the following settings,10. other,,,,,,,,,,,,,,,,text-2,text-3,text-4,text-9,text-12,text-15
,"Automated, interactive text message intervention to remind people wear seat belt to solve low rates of seat belt use and highest motor vehicle crashes-related non fatal rates in young adult.",Relatively low rates of seat belt use and highest motor vehicle crashes-related non fatal rates in young adult.,Yes,Patient,,Patient,,Not wearing seat belt.,"Be reminded to wear seat belt consistenly by automated, interactive text message intervention.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Can be lack of habit, awareness, or perceived need.","With weekly check-in and goal commitment prompts, targeted people are more likely to report seat belt use.",Stage 1,,Community care,,,,,,,,,,,,,,,,,,,,,,
,Adopt thorough report and varied implementation strategies to solve the problem of suicide prevention.,Few implementation strategies available to reduce suicide attempts and increase treatment initiation.,Yes,Physician,,Patient,,Limited documentation of implementation strategies.,Thoroughly report and use varied implementation strategies.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Space constraints, unfamiliarity with implementation science.",Improves the adoption and effectiveness of suicide prevention interventions.,Stage 1,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize EHR self-scheduling for mammograms to solve low mammogram completion.,Low mammogram completion rates.,Yes,Patient,,"Patient, Nurse Practitioner (paper refers clinician)",,"Patients currently receive screening through resource-intensive and inscable methods, such as telephone calls, educational materials, community partnerships, and patient navigator support.",Utilize EHR self-scheduling for mammograms.,Tech/tools constraints: the desired behaviour change is restricted due to underequipped or inaccessible technology/device/tools,,Can be lack of awarenss of access to technology.,"1) Simplifies the scheduling process
 2) Empowers patients with greater flexibility to access the scheuling system",Stage 1,,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize remote patient monitoring (RPM) data to solve the poor performance of current models which predict the possibility of patients to be readmitted within 30 day.,Models to predict which patients will be readmitted within 30 days often perform poorly.,Yes,Patient,,"Physician, Nurse, Patient",,Rely heavily on data available up until the time of hospital discharge and use traditional regression techniques.,"Utilize remote patient monitoring (RPM) data, including physical activity and sleep patterns, and machine learning approaches.",Tech/tools constraints: the desired behaviour change is restricted due to underequipped or inaccessible technology/device/tools,,Limited integration of RPM data into clinical workflows.,Enhances prediction models to identify the patients at highest risk of hospital readmission.,Stage 4,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Adopt appropriate care and evidenc-based treatment across races to solve opioid prescribing disparities in emergency and urgent care.,Address opioid prescribing disparities in emergency and urgent care.,Yes,"Physician, Nurse Practitioner",,Patient,,Black and Hispanic patients receive lower rates and dosages of opioid prescriptions for the same conditions and reported pain level as White patients.,Appropriate care and evidenc-based treatment across races.,Ambiguity: unclear guidance to users to adopt desired behaviour,,lack of receipt of a formal opioid prescription for Black patients. Interpersonal and structural biases and racism.,Feedback interventions could lead to equitable prescribing practices.,Stage 3,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,"Leverage behavioural interventions, including peer comparisons, perfromance reports, and opt-out reminders to sovle low utilization on SICs.",Low utilization on enhance serious illness conversations (SICs) between oncology clinicians and patients.,Yes,Physician,,Patient,,"Clinicians may not initiate SICs timely, thus most patients with cancer die without a documented SIC.","Leverage behavioural interventions, including peer comparisons, perfromance reports, and opt-out reminders to achieve a sustained increase in SICs.",Systemic corporation: the desired behaviour involves some changes to upstream/downstream practice in the first place,,inaccurate prognostication and perceptions that SICs are appropriate only close to death.,"Increases SIC rates, which leads to improved patient understanding and potentially reduces aggressive end-of-life care.","Stage 3, Stage 4",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize EHR nudges for active choice prompts and peer comparison feedback to solve low Statins prescription on patients who meet guideline criteria for a statin.,Low Statins prescription rate on patients who meet guideline criteria for a statin.,Yes,Physician,,Patient,,Clinician recognize that a patient could benefit from a statin and then discuss it with the patient.,Utilize EHR nudges for active choice prompts and peer comparison feedback.,Complexity: nuances or variations of implementing interventions in real life,,Clinicians may overlook patients' statin eligibility and forget to prescribe it. No benchmark.,"EHR-based nudges (active choice prompts and peer comparison) fit within clinician workflow and streamline the prescription process, which makes it easier to prescribe statins when indicated.","Stage 2, Stage 3",,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Fully utilize Conversation Connect to conduct frequent and timeliness of early serious illness converstaions(SICs) to solve low documented SICs.,Rates of documented early serious illness communications (SICs) remained below desired levels.,Yes,Physician,,Patient,,Conversation Connect is introduced. It's a behavioural-informed intervention to prompt early serious illness communication.,Fully utilize Conversation Connect to conduct frequent and timeliness of early serious illness converstaions(SICs).,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,cancer-specific heterogeneity in performance,"Through the use algorithm-based interventions, especially peer comparisons and performance reports, early conversations in the outpatient oncology setting can be promoted.","Stage 3, Stage 4",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Implement equitable prescribing practices through clinician training and awareness to solve disparities in opioid presicribing in emergency and urgent care.,Disparities in opioid prescribing in emergency and urgent care.,Yes,"Physician, Nurse Practitioner",,Patient,,Exhibiting varied prescribing patterns across patient demographics.,Implement equitable prescribing practices through clinician training and awareness.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Implicit biases, lack of awareness, and inconsistent guidelines.",Reducing disparities can lead to fairer patient treatment and potentially better outcomes.,Stage 3,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize automated text messaging for immediate feedback on pain and opioid consumption to solve increasingly left unsused prescription on opioids after surgery.,Increasing prescriptions on opioids are left unused after surgery.,Yes,"Physician, Patient",,Patient,,Using phone-based surveys to provide data on postoperative pain monitoring.,Utilize automated text messaging for immediate feedback on pain and opioid consumption.,Systemic corporation: the desired behaviour involves some changes to upstream/downstream practice in the first place,,Lack of integration into clinical practice.,Provides data for personalized care and guide shared dicision making to decrease opioid excess.,"Stage 3, Stage 4",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Deliver S.A.F.E Firearm in equity by responding nonjudgmental to EHR-nudge choices to solve variation in S.A.F.E. Firearm delivery by patients' race and ethnicity.,Variation in S.A.F.E. Firearm delivery by patients' race and ethnicity.,Yes,"Physician, Public Health",,"Patient, Public Health",,Clinicians have higher odds of delivering S.A.F.E. Firearm to parents of non-Hispanic/Latino (NH) White youth.,Clinicians deliver S.A.F.E Firearm in equity by responding nonjudgmental to EHR-nudge choices.,Complexity: nuances or variations of implementing interventions in real life,,"Potential individual-level and structural racism by medical complexity, race, and ethnicity.",EHR-nudge can promote consistent initiation of program delivery for all families.,Stage 1,,Primary Care,,,,,,,,,,,,,,,,,,,,,,
